eventid,snowroutesegmentid,first_serviced_at,storm_start,hours_to_first_service,roadname,snowrouteid,routepriority,segmentlength
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2240,2025-12-24 05:00:45+00:00,2025-12-26 19:01:45.962242+00:00,-62.01693395611111,COLUMBUS AV,Route 14,Priority 1,0.0685363593935614
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2278,2025-12-24 04:59:58+00:00,2025-12-26 19:01:45.962242+00:00,-62.02998951166667,E FAYETTE ST,Route 3,Priority 1,0.105827623907859
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2277,2025-12-24 04:59:36+00:00,2025-12-26 19:01:45.962242+00:00,-62.03610062277778,E FAYETTE ST,Route 3,Priority 1,0.106270162138336
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2276,2025-12-24 04:59:25+00:00,2025-12-26 19:01:45.962242+00:00,-62.039156178333336,E FAYETTE ST,Route 3,Priority 1,0.107019296840388
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2272,2025-12-24 04:59:08+00:00,2025-12-26 19:01:45.962242+00:00,-62.043878400555556,E FAYETTE ST,Route 1,Priority 1,0.106289241164659
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2268,2025-12-24 04:58:25+00:00,2025-12-26 19:01:45.962242+00:00,-62.055822845,E FAYETTE ST,Route 1,Priority 1,0.11595096483056
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2266,2025-12-24 04:57:59+00:00,2025-12-26 19:01:45.962242+00:00,-62.06304506722223,E FAYETTE ST,Route 1,Priority 1,0.112738643081082
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2256,2025-12-24 04:57:48+00:00,2025-12-26 19:01:45.962242+00:00,-62.06610062277778,E FAYETTE ST,Route 1,Priority 1,0.112950948127167
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2254,2025-12-24 04:57:07+00:00,2025-12-26 19:01:45.962242+00:00,-62.07748951166667,E FAYETTE ST,Route 1,Priority 1,0.0611750614088006
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2252,2025-12-24 04:56:45+00:00,2025-12-26 19:01:45.962242+00:00,-62.08360062277778,E FAYETTE ST,Route 1,Priority 1,0.112236735396232
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2250,2025-12-24 04:56:27+00:00,2025-12-26 19:01:45.962242+00:00,-62.08860062277778,E FAYETTE ST,Route 1,Priority 1,0.112170032811128
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2358,2025-12-24 04:33:46+00:00,2025-12-26 19:01:45.962242+00:00,-62.46665617833334,ALMOND ST,Route 1,Priority 1,0.0795984948731915
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2242,2025-12-24 04:33:28+00:00,2025-12-26 19:01:45.962242+00:00,-62.47165617833333,E FAYETTE ST,Route 1,Priority 1,0.0873740161645547
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2238,2025-12-24 04:33:11+00:00,2025-12-26 19:01:45.962242+00:00,-62.47637840055556,E FAYETTE ST,Route 8,Priority 1,0.0912176706022885
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2235,2025-12-24 04:32:59+00:00,2025-12-26 19:01:45.962242+00:00,-62.47971173388889,S STATE ST,Route 8,Priority 1,0.0601625298170649
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2161,2025-12-24 04:32:47+00:00,2025-12-26 19:01:45.962242+00:00,-62.48304506722222,S STATE ST,Route 8,Priority 1,0.0644632793055493
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-800,2025-12-24 04:32:36+00:00,2025-12-26 19:01:45.962242+00:00,-62.48610062277778,S STATE ST,Route 8,Priority 1,0.0278207362862883
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-147,2025-12-24 04:29:59+00:00,2025-12-26 19:01:45.962242+00:00,-62.52971173388889,N SALINA ST,Route 1,Priority 1,0.0469027999989799
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-109,2025-12-24 04:29:47+00:00,2025-12-26 19:01:45.962242+00:00,-62.533045067222226,BUTTERNUT ST,Route 7,Priority 1,0.0506238852698912
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2134,2025-12-24 04:28:42+00:00,2025-12-26 19:01:45.962242+00:00,-62.55110062277778,BUTTERNUT ST,Route 7,Priority 1,0.0720808966504845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2092,2025-12-24 04:28:26+00:00,2025-12-26 19:01:45.962242+00:00,-62.555545067222226,BUTTERNUT ST,Route 7,Priority 1,0.102157886763661
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2029,2025-12-24 04:28:15+00:00,2025-12-26 19:01:45.962242+00:00,-62.55860062277778,BUTTERNUT ST,Route 7,Priority 1,0.0699160371676639
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2001,2025-12-24 04:28:05+00:00,2025-12-26 19:01:45.962242+00:00,-62.561378400555554,BUTTERNUT ST,Route 7,Priority 1,0.0993721459599215
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1907,2025-12-24 04:27:42+00:00,2025-12-26 19:01:45.962242+00:00,-62.56776728944445,BUTTERNUT ST,Route 7,Priority 1,0.091161669216536
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1832,2025-12-24 04:27:37+00:00,2025-12-26 19:01:45.962242+00:00,-62.56915617833334,BUTTERNUT ST,Route 7,Priority 1,0.0869023081605778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1704,2025-12-24 04:27:14+00:00,2025-12-26 19:01:45.962242+00:00,-62.57554506722222,BUTTERNUT ST,Route 7,Priority 1,0.0926689848098653
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1629,2025-12-24 04:26:57+00:00,2025-12-26 19:01:45.962242+00:00,-62.58026728944445,BUTTERNUT ST,Route 7,Priority 1,0.0494131701066241
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1568,2025-12-24 04:26:46+00:00,2025-12-26 19:01:45.962242+00:00,-62.583322845000005,BUTTERNUT ST,Route 7,Priority 1,0.0745791575861161
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1479,2025-12-24 04:26:35+00:00,2025-12-26 19:01:45.962242+00:00,-62.58637840055556,BUTTERNUT ST,Route 7,Priority 1,0.0980628456081545
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1377,2025-12-24 04:26:29+00:00,2025-12-26 19:01:45.962242+00:00,-62.588045067222225,BUTTERNUT ST,Route 1,Priority 1,0.047124587327617
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-481,2025-12-24 04:26:18+00:00,2025-12-26 19:01:45.962242+00:00,-62.59110062277778,BUTTERNUT ST,Route 7,Priority 1,0.126364529048827
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1218,2025-12-24 04:26:08+00:00,2025-12-26 19:01:45.962242+00:00,-62.59387840055556,BUTTERNUT ST,Route 7,Priority 1,0.0295636997916216
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1196,2025-12-24 04:25:57+00:00,2025-12-26 19:01:45.962242+00:00,-62.596933956111116,GRANT BLVD,Route 25,Priority 1,0.0438031726637519
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1171,2025-12-24 04:25:45+00:00,2025-12-26 19:01:45.962242+00:00,-62.600267289444446,GRANT BLVD,Route 25,Priority 1,0.0857166837517603
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1157,2025-12-24 04:25:34+00:00,2025-12-26 19:01:45.962242+00:00,-62.603322845,GRANT BLVD,Route 25,Priority 1,0.138352760573468
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1337,2025-12-24 04:11:27+00:00,2025-12-26 19:01:45.962242+00:00,-62.83860062277778,CULBERT ST,Route 18,Priority 2,0.273308819892367
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1176,2025-12-24 04:10:36+00:00,2025-12-26 19:01:45.962242+00:00,-62.852767289444444,GRANT BLVD,Route 25,Priority 1,0.0525276910475765
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1216,2025-12-24 04:10:25+00:00,2025-12-26 19:01:45.962242+00:00,-62.855822845000006,BUTTERNUT CIRCLE,Route 1,Priority 1,0.0453715091019006
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1215,2025-12-24 04:10:19+00:00,2025-12-26 19:01:45.962242+00:00,-62.85748951166667,GRANT BLVD,Route 25,Priority 1,0.0331786138816632
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1208,2025-12-24 04:10:08+00:00,2025-12-26 19:01:45.962242+00:00,-62.860545067222226,GRANT BLVD,Route 25,Priority 1,0.0572804752959546
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1199,2025-12-24 04:09:51+00:00,2025-12-26 19:01:45.962242+00:00,-62.865267289444446,GRANT BLVD,Route 25,Priority 1,0.0702213150742907
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1197,2025-12-24 04:09:22+00:00,2025-12-26 19:01:45.962242+00:00,-62.873322845000004,GRANT BLVD,Route 25,Priority 1,0.0560910976808894
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1189,2025-12-24 04:09:05+00:00,2025-12-26 19:01:45.962242+00:00,-62.878045067222224,GRANT BLVD,Route 25,Priority 1,0.0442044164818404
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1186,2025-12-24 04:08:54+00:00,2025-12-26 19:01:45.962242+00:00,-62.88110062277778,GRANT BLVD,Route 02,Priority 1,0.119324440955349
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1175,2025-12-24 04:08:37+00:00,2025-12-26 19:01:45.962242+00:00,-62.885822845,GRANT BLVD,Route 02,Priority 1,0.0622354307577145
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1173,2025-12-24 04:08:25+00:00,2025-12-26 19:01:45.962242+00:00,-62.88915617833334,GRANT BLVD,Route 02,Priority 1,0.0631707445991429
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1172,2025-12-24 04:08:19+00:00,2025-12-26 19:01:45.962242+00:00,-62.890822845,GRANT BLVD,Route 02,Priority 1,0.0561419672577328
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1170,2025-12-24 04:08:08+00:00,2025-12-26 19:01:45.962242+00:00,-62.89387840055556,GRANT BLVD,Route 02,Priority 1,0.0804487334069209
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1205,2025-12-24 04:07:56+00:00,2025-12-26 19:01:45.962242+00:00,-62.89721173388889,GRANT BLVD,Route 02,Priority 1,0.102914293912225
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1241,2025-12-24 04:06:58+00:00,2025-12-26 19:01:45.962242+00:00,-62.913322845,GRANT BLVD,Route 02,Priority 1,0.0886861587008942
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1298,2025-12-24 04:06:36+00:00,2025-12-26 19:01:45.962242+00:00,-62.919433956111114,GRANT BLVD,Route 02,Priority 1,0.0353402968384662
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1344,2025-12-24 04:06:25+00:00,2025-12-26 19:01:45.962242+00:00,-62.92248951166667,GRANT BLVD,Route 02,Priority 1,0.0577377925592204
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1437,2025-12-24 04:06:14+00:00,2025-12-26 19:01:45.962242+00:00,-62.925545067222224,GRANT BLVD,Route 02,Priority 1,0.168475923488886
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1465,2025-12-24 04:05:58+00:00,2025-12-26 19:01:45.962242+00:00,-62.92998951166667,GRANT BLVD,Route 02,Priority 1,0.052342132258085
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1456,2025-12-24 04:05:48+00:00,2025-12-26 19:01:45.962242+00:00,-62.93276728944445,JAMES ST,Route 02,Priority 1,0.174577493124696
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1445,2025-12-24 04:05:26+00:00,2025-12-26 19:01:45.962242+00:00,-62.93887840055556,JAMES ST,Route 02,Priority 1,0.146182707072783
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1443,2025-12-24 04:05:09+00:00,2025-12-26 19:01:45.962242+00:00,-62.94360062277778,JAMES ST,Route 02,Priority 1,0.048633681273087
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1435,2025-12-24 04:04:57+00:00,2025-12-26 19:01:45.962242+00:00,-62.94693395611112,JAMES ST,Route 02,Priority 1,0.0566116219863896
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1616,2025-12-24 04:04:46+00:00,2025-12-26 19:01:45.962242+00:00,-62.94998951166667,S MIDLER AV,Route 31,Priority 1,0.174854666903095
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-303,2025-12-24 03:37:24+00:00,2025-12-26 19:01:45.962242+00:00,-63.40610062277778,S MIDLER AV,Route 31,Priority 1,0.122776360608773
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-474,2025-12-24 03:37:13+00:00,2025-12-26 19:01:45.962242+00:00,-63.40915617833333,ERIE BLVD E,Route 1,Priority 1,0.134550486268995
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-525,2025-12-24 03:35:59+00:00,2025-12-26 19:01:45.962242+00:00,-63.429711733888894,ERIE BLVD E,Route 1,Priority 1,0.103634338727296
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-627,2025-12-24 03:35:47+00:00,2025-12-26 19:01:45.962242+00:00,-63.433045067222224,ERIE BLVD E,Unknown,Priority 1,0.212214561748067
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-710,2025-12-24 03:35:25+00:00,2025-12-26 19:01:45.962242+00:00,-63.439156178333334,ERIE BLVD E,Unknown,Priority 1,0.138339458916662
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1622,2025-12-23 18:53:08+00:00,2025-12-26 19:01:45.962242+00:00,-72.14387840055556,S EDWARDS AV,Route 31,Priority 2,0.172422477283229
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1441,2025-12-23 18:39:28+00:00,2025-12-26 19:01:45.962242+00:00,-72.37165617833334,JAMES ST,Route 02,Priority 1,0.0536710464618734
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1471,2025-12-23 18:38:05+00:00,2025-12-26 19:01:45.962242+00:00,-72.3947117338889,JAMES ST,Route 02,Priority 1,0.042337267583196
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1453,2025-12-23 18:37:44+00:00,2025-12-26 19:01:45.962242+00:00,-72.40054506722223,JAMES - GRANT,Route 2,Priority 2,0.0163539881013288
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1274,2025-12-23 18:36:54+00:00,2025-12-26 19:01:45.962242+00:00,-72.41443395611111,GRANT BLVD,Route 02,Priority 1,0.0547969179274701
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1253,2025-12-23 18:29:33+00:00,2025-12-26 19:01:45.962242+00:00,-72.53693395611111,TEALL AV,Route 02,Priority 1,0.0562814965532016
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1335,2025-12-23 18:29:28+00:00,2025-12-26 19:01:45.962242+00:00,-72.538322845,TEALL AV,Route 02,Priority 1,0.0782575063943059
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1390,2025-12-23 18:29:12+00:00,2025-12-26 19:01:45.962242+00:00,-72.54276728944444,TEALL AV,Route 02,Priority 1,0.055748149910967
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1505,2025-12-23 18:29:06+00:00,2025-12-26 19:01:45.962242+00:00,-72.5444339561111,TEALL AV,Route 02,Priority 1,0.103248857079482
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1699,2025-12-23 18:28:55+00:00,2025-12-26 19:01:45.962242+00:00,-72.54748951166667,TEALL AV,Route 02,Priority 1,0.202429990885998
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1756,2025-12-23 18:27:38+00:00,2025-12-26 19:01:45.962242+00:00,-72.56887840055556,JAMES ST,Route 02,Priority 1,0.135511277163189
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1786,2025-12-23 18:26:59+00:00,2025-12-26 19:01:45.962242+00:00,-72.57971173388889,JAMES ST,Route 02,Priority 1,0.118653252227434
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1847,2025-12-23 18:26:53+00:00,2025-12-26 19:01:45.962242+00:00,-72.58137840055556,JAMES ST,Route 02,Priority 1,0.106513863115317
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1944,2025-12-23 18:26:37+00:00,2025-12-26 19:01:45.962242+00:00,-72.585822845,JAMES ST,Route 02,Priority 1,0.167165534506422
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-2078,2025-12-23 18:26:09+00:00,2025-12-26 19:01:45.962242+00:00,-72.59360062277779,JAMES ST,Route 02,Priority 1,0.193753936180309
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-131,2025-12-23 18:25:35+00:00,2025-12-26 19:01:45.962242+00:00,-72.60304506722223,JAMES ST,Route 02,Priority 1,0.248805220174939
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-208,2025-12-23 18:24:47+00:00,2025-12-26 19:01:45.962242+00:00,-72.61637840055556,JAMES ST,Route 02,Priority 1,0.106481063120244
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-333,2025-12-23 18:24:25+00:00,2025-12-26 19:01:45.962242+00:00,-72.62248951166667,JAMES ST,Route 02,Priority 1,0.167035887267877
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-401,2025-12-23 18:24:02+00:00,2025-12-26 19:01:45.962242+00:00,-72.62887840055556,CATHERINE ST,Route 02,Priority 1,0.0658065134606965
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-400,2025-12-23 18:23:17+00:00,2025-12-26 19:01:45.962242+00:00,-72.64137840055555,WAYNE ST,Route 02,Priority 2,0.106667926986063
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-330,2025-12-23 18:22:48+00:00,2025-12-26 19:01:45.962242+00:00,-72.64943395611111,WAYNE ST,Route 02,Priority 2,0.0861599302614161
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-305,2025-12-23 18:22:19+00:00,2025-12-26 19:01:45.962242+00:00,-72.65748951166667,LODI ST,Route 10,Priority 1,0.0665255961061627
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-367,2025-12-23 18:22:07+00:00,2025-12-26 19:01:45.962242+00:00,-72.660822845,LODI ST,Route 10,Priority 1,0.0812920278414707
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-398,2025-12-23 18:21:43+00:00,2025-12-26 19:01:45.962242+00:00,-72.66748951166667,LODI ST,Route 10,Priority 1,0.132153321631126
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-569,2025-12-23 18:21:26+00:00,2025-12-26 19:01:45.962242+00:00,-72.67221173388889,LODI ST,Route 10,Priority 1,0.109970707720181
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-605,2025-12-23 18:21:09+00:00,2025-12-26 19:01:45.962242+00:00,-72.67693395611111,LODI ST,Route 10,Priority 1,0.0977260432493547
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-547,2025-12-23 18:20:18+00:00,2025-12-26 19:01:45.962242+00:00,-72.69110062277778,BURNET AV,Route 1,Priority 1,0.0411668255503553
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-254,2025-12-23 18:18:48+00:00,2025-12-26 19:01:45.962242+00:00,-72.71610062277777,BURNET AV,Route 1,Priority 1,0.0614420976272518
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-224,2025-12-23 18:18:37+00:00,2025-12-26 19:01:45.962242+00:00,-72.71915617833334,BURNET AV,Route 1,Priority 1,0.0416036759110469
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-211,2025-12-23 18:18:26+00:00,2025-12-26 19:01:45.962242+00:00,-72.7222117338889,BURNET AV,Route 1,Priority 1,0.0656736927313901
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-187,2025-12-23 18:18:15+00:00,2025-12-26 19:01:45.962242+00:00,-72.72526728944445,BURNET AV,Route 1,Priority 1,0.0356259979220766
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-167,2025-12-23 18:18:05+00:00,2025-12-26 19:01:45.962242+00:00,-72.72804506722223,BURNET AV,Route 1,Priority 1,0.0708683612573539
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-142,2025-12-23 18:17:55+00:00,2025-12-26 19:01:45.962242+00:00,-72.730822845,BURNET AV,Route 1,Priority 1,0.138309122644531
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-95,2025-12-23 18:17:38+00:00,2025-12-26 19:01:45.962242+00:00,-72.73554506722222,BURNET AV,Route 1,Priority 1,0.0644180950762357
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-47,2025-12-23 18:17:15+00:00,2025-12-26 19:01:45.962242+00:00,-72.74193395611111,BURNET AV,Route 1,Priority 1,0.0640441677592802
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-687,2025-12-23 16:58:50+00:00,2025-12-26 19:01:45.962242+00:00,-74.04887840055555,ERIE BLVD E,Unknown,Priority 1,0.092340585511069
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-601,2025-12-23 16:57:48+00:00,2025-12-26 19:01:45.962242+00:00,-74.06610062277777,ERIE BLVD E,Unknown,Priority 1,0.221540168454968
